City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Marsabit,KE,2.3284,37.9899,69.75,52,57,15.64,broken clouds
1,Cape Town,ZA,-33.9258,18.4232,57.11,81,0,4.61,clear sky
2,Namibe,AO,-15.1961,12.1522,68.59,60,1,6.38,clear sky
3,Bambous Virieux,MU,-20.3428,57.7575,74.21,64,40,12.66,scattered clouds
4,Talnakh,RU,69.4865,88.3972,61.21,34,6,12.5,clear sky
5,Saint-Augustin,CA,51.226,-58.6502,53.83,67,100,14.79,overcast clouds
6,Bredasdorp,ZA,-34.5322,20.0403,54.73,75,0,0.38,clear sky
7,Lesnoy,RU,57.6198,63.0784,61.3,47,59,10.85,broken clouds
8,Longyearbyen,SJ,78.2186,15.6401,42.64,87,75,6.91,light intensity drizzle rain
9,Sambava,MG,-14.2667,50.1667,73.78,74,80,15.12,light rain
10,Mahebourg,MU,-20.4081,57.7,74.25,64,40,12.66,scattered clouds
11,Inta,RU,66.0317,60.1659,71.85,67,88,12.5,moderate rain
12,Jamestown,US,42.097,-79.2353,76.59,70,0,5.75,clear sky
13,Walvis Bay,NA,-22.9575,14.5053,56.08,87,40,10.36,scattered clouds
14,Hermanus,ZA,-34.4187,19.2345,50.81,74,0,4.83,clear sky
15,Caravelas,BR,-17.7125,-39.2481,68.43,89,0,3.96,clear sky
16,Bandarbeyla,SO,9.4942,50.8122,89.08,44,93,33.89,overcast clouds
17,East London,ZA,-33.0153,27.9116,65.34,72,0,3.44,clear sky
18,Mecca,SA,21.4267,39.8261,98.37,16,61,8.19,broken clouds
19,Souillac,MU,-20.5167,57.5167,73.78,64,40,12.66,scattered clouds
20,Moose Factory,CA,51.2585,-80.6094,51.8,76,0,5.75,clear sky
21,Port Alfred,ZA,-33.5906,26.891,67.26,59,100,5.59,overcast clouds
22,Umm Kaddadah,SD,13.6017,26.6876,83.17,49,91,11.12,overcast clouds
23,Klaksvik,FO,62.2266,-6.589,52.72,81,8,21.12,clear sky
24,Cobija,BO,-11.0267,-68.7692,71.65,64,49,2.28,scattered clouds
25,Savinka,RU,50.0785,47.0994,71.26,44,14,15.97,few clouds
26,Kolyvan,RU,55.3053,82.7391,73.02,52,100,11.03,overcast clouds
27,Dikson,RU,73.5069,80.5464,36.16,98,100,2.8,overcast clouds
28,Lodwar,KE,3.1191,35.5973,85.21,42,17,8.93,few clouds
29,Burgersdorp,ZA,-30.9977,26.3286,55.72,43,2,7.63,clear sky
30,Lasa,IT,46.6166,10.7002,65.28,64,39,3.78,scattered clouds
31,Lagoa,PT,39.05,-27.9833,64.72,72,100,11.12,overcast clouds
32,Grand Gaube,MU,-20.0064,57.6608,74.37,60,43,11.99,scattered clouds
33,Bharatpur,IN,27.2167,77.4833,105.57,29,39,11.72,scattered clouds
34,Taoudenni,ML,22.6783,-3.9836,103.14,8,48,6.98,scattered clouds
35,Ushuaia,AR,-54.8,-68.3,31.66,74,0,9.22,clear sky
36,Lebu,CL,-37.6167,-73.65,51.21,91,100,19.28,overcast clouds
37,Sao Filipe,CV,14.8961,-24.4956,73.44,81,40,4.36,scattered clouds
38,Olafsvik,IS,64.8945,-23.7142,49.03,78,99,7.92,overcast clouds
39,Qaanaaq,GL,77.484,-69.3632,40.86,62,48,4.32,scattered clouds
40,Matara,LK,5.9485,80.5353,81.52,82,98,14.25,overcast clouds
41,Punta Arenas,CL,-53.15,-70.9167,21.31,100,0,5.75,clear sky
42,Leh,IN,34.1667,77.5833,77.23,28,90,5.95,overcast clouds
43,Vyartsilya,RU,62.1764,30.693,70.61,77,100,6.78,overcast clouds
44,Sorland,NO,67.667,12.6934,55.26,93,100,8.97,light rain
45,Vicuna,CL,-30.0319,-70.7081,42.53,30,84,3.91,broken clouds
46,Coruripe,BR,-10.1256,-36.1756,72.28,88,58,13.06,broken clouds
47,Senno,RU,59.5336,33.9167,75.25,71,100,2.1,overcast clouds
48,Kudahuvadhoo,MV,2.6708,72.8944,83.16,76,98,10.04,overcast clouds
49,Yar-Sale,RU,66.8333,70.8333,52.68,78,100,13.6,overcast clouds
50,Upernavik,GL,72.7868,-56.1549,35.76,93,25,9.91,scattered clouds
51,Mamlyutka,KZ,54.9375,68.5394,55.42,91,100,16.62,light rain
52,Rio Cuarto,AR,-33.1307,-64.3499,40.48,52,0,5.88,clear sky
53,Paramonga,PE,-10.6667,-77.8333,61.57,86,73,6.33,broken clouds
54,Doaba,PK,33.4244,70.7364,94.44,42,82,4.52,broken clouds
55,Busselton,AU,-33.65,115.3333,58.53,57,98,8.99,overcast clouds
